obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""300.502""","=""300.5010""","=""1""","=""""",,"=""45344.165""","=""78612.23""","=""3s2.6d""","=""2D""","=""3/2""","=""3s.3p.(3P*).4d""","=""2F*""","=""5/2""",,"=""""","=""L3514""",
"=""305.0073""","=""305.0072""","=""13""","=""""",,"=""29066.96""","=""61843.54""","=""3s.3p2""","=""4P""","=""3/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""5/2""",,"=""""","=""L4737""",
"=""305.4679""","=""305.4679""","=""5""","=""""",,"=""29020.41""","=""61747.56""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""3/2""",,"=""""","=""L4737""",
"=""305.7144""","=""305.7144""","=""14""","=""""",,"=""29142.78""","=""61843.54""","=""3s.3p2""","=""4P""","=""5/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""5/2""",,"=""""","=""L4737""",
"=""305.9029""","=""305.9030""","=""4""","=""""",,"=""29066.96""","=""61747.56""","=""3s.3p2""","=""4P""","=""3/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""3/2""",,"=""""","=""L4737""",
"=""305.9924""","=""305.9924""","=""4""","=""""",,"=""29020.41""","=""61691.46""","=""3s.3p2""","=""4P""","=""1/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""1/2""",,"=""""","=""L4737""",
"=""306.4290""","=""306.4290""","=""7""","=""""",,"=""29066.96""","=""61691.46""","=""3s.3p2""","=""4P""","=""3/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""1/2""",,"=""""","=""L4737""",
"=""306.512""","=""306.5094""","=""1""","=""""",,"=""46094.312""","=""78710.26""","=""3s2.7d""","=""2D""","=""5/2""","=""3s.3p.(3P*).4d""","=""2F*""","=""7/2""",,"=""""","=""L3514""",
"=""306.6145""","=""306.6144""","=""5""","=""""",,"=""29142.78""","=""61747.56""","=""3s.3p2""","=""4P""","=""5/2""","=""3s.3p.(3P*).4s""","=""4P*""","=""3/2""",,"=""""","=""L4737""",
"=""308.21529""","=""308.21510""","=""24g""","=""5.87e-01""",B+,"=""0.000""","=""32435.453""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.3d""","=""2D""","=""3/2""",,"=""c40,T5653""","=""L4737""",
"=""308.702""","=""308.6989""","=""5""","=""""",,"=""44168.847""","=""76553.47""","=""3s2.5d""","=""2D""","=""5/2""","=""3s.3p.(3P*).4d""","=""2D*""","=""5/2""",,"=""""","=""L3514""",
"=""308.982""","=""308.9786""","=""1""","=""""",,"=""44166.398""","=""76521.7""","=""3s2.5d""","=""2D""","=""3/2""","=""3s.3p.(3P*).4d""","=""2D*""","=""3/2""",,"=""""","=""L3514""",
"=""309.27099""","=""309.27084""","=""26g""","=""7.29e-01""",B+,"=""112.061""","=""32436.796""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.3d""","=""2D""","=""5/2""",,"=""c40,T7070""","=""L4737""",
"=""309.28386""","=""309.28369""","=""20g""","=""1.16e-01""",B,"=""112.061""","=""32435.453""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.3d""","=""2D""","=""3/2""",,"=""c40""","=""L4737""",
"=""320.339""","=""320.3394""","=""4""","=""""",,"=""45345.594""","=""76553.47""","=""3s2.6d""","=""2D""","=""5/2""","=""3s.3p.(3P*).4d""","=""2D*""","=""5/2""",,"=""""","=""L3514""",
"=""324.159""","=""324.1605""","=""3""","=""""",,"=""42237.783""","=""73077.8""","=""3s2.4d""","=""2D""","=""5/2""","=""3s.3p.(3P*).3d""","=""2F*""","=""7/2""",,"=""""","=""L3514""",
"=""325.160""","=""325.1607""","=""2""","=""""",,"=""42233.742""","=""72978.9""","=""3s2.4d""","=""2D""","=""3/2""","=""3s.3p.(3P*).3d""","=""2F*""","=""5/2""",,"=""""","=""L3514""",
"=""328.220""","=""328.2139""","=""3""","=""""",,"=""46094.312""","=""76553.47""","=""3s2.7d""","=""2D""","=""5/2""","=""3s.3p.(3P*).4d""","=""2D*""","=""5/2""",,"=""""","=""L3514""",
"=""343.9347""","=""343.9346""","=""6g""","=""""",,"=""0.000""","=""29066.96""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""4P""","=""3/2""",,"=""""","=""L4737""",
"=""344.3640""","=""344.3640""","=""9g""","=""""",,"=""112.061""","=""29142.78""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""4P""","=""5/2""",,"=""""","=""L4737""",
"=""344.4865""","=""344.4863""","=""6g""","=""""",,"=""0.000""","=""29020.41""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""4P""","=""1/2""",,"=""""","=""L4737""",
"=""345.2657""","=""345.2658""","=""2g""","=""""",,"=""112.061""","=""29066.96""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""4P""","=""3/2""",,"=""""","=""L4737""",
"=""345.8216""","=""345.8145""","=""6g*""","=""""",,"=""44168.847""","=""73077.8""","=""3s2.5d""","=""2D""","=""5/2""","=""3s.3p.(3P*).3d""","=""2F*""","=""7/2""",,"=""""","=""L4737""",
