obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""336.433""","=""0.005""","=""""","=""1.4e-04""",D,"=""59993.45""","=""89708.49""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""336.433""","=""0.005""","=""""","=""2.0e-03""",D,"=""59993.45""","=""89708.49""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""336.471""","=""0.005""","=""""","=""2.1e-04""",D,"=""59993.45""","=""89705.19""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""336.471""","=""0.005""","=""""","=""2.0e-03""",D,"=""59993.45""","=""89705.19""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""343.799""","=""0.005""","=""""","=""1.43e-03""",C,"=""57786.4336""","=""86864.9""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""343.806""","=""0.005""","=""""","=""7.1e-03""",C,"=""57787.0683""","=""86864.9""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""343.861""","=""0.005""","=""""","=""5.73e-03""",C,"=""57786.4336""","=""86859.6""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""343.869""","=""0.005""","=""""","=""2.87e-03""",C,"=""57787.0683""","=""86859.6""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""348.915""","=""0.022""","=""""","=""9.72e-10""",B,"=""0.0000""","=""28652.07+x""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",,"=""T7194""","=""""",
"=""""","=""""","=""348.972""","=""0.023""","=""""","=""1.48e-09""",B,"=""0.0000""","=""28647.43+x""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""4P""","=""1/2""",,"=""T7194""","=""""",
"=""""","=""""","=""349.024""","=""0.022""","=""""","=""3.21e-08""",B,"=""15.287""","=""28658.40+x""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""5/2""",,"=""T7194""","=""""",
"=""""","=""""","=""349.101""","=""0.022""","=""""","=""5.18e-09""",B,"=""15.287""","=""28652.07+x""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""3/2""",,"=""T7194""","=""""",
"=""""","=""""","=""349.158""","=""0.022""","=""""","=""8.50e-11""",B,"=""15.287""","=""28647.43+x""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""4P""","=""1/2""",,"=""T7194""","=""""",
"=""""","=""""","=""367.232""","=""0.006""","=""""","=""8.2e-04""",D,"=""62485.504""","=""89708.49""","=""2s2.5d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""367.232""","=""0.006""","=""""","=""5.7e-05""",D,"=""62485.504""","=""89708.49""","=""2s2.5d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""367.277""","=""0.006""","=""""","=""7.7e-04""",D,"=""62485.504""","=""89705.19""","=""2s2.5d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""367.277""","=""0.006""","=""""","=""8.6e-05""",D,"=""62485.504""","=""89705.19""","=""2s2.5d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""417.896""","=""0.004""","=""""","=""1.2e-03""",D+,"=""48611.8663""","=""72534.55""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""417.927""","=""0.004""","=""""","=""6.1e-03""",D+,"=""48613.6486""","=""72534.55""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""418.099""","=""0.003""","=""""","=""4.9e-03""",D+,"=""48611.8663""","=""72522.90""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""418.130""","=""0.003""","=""""","=""2.5e-03""",D+,"=""48613.6486""","=""72522.90""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""""",
"=""550.4565""","=""0.0015""","=""550.4527""","=""0.0015""","=""a*""","=""""",,"=""47856.809""","=""66018.63""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.11f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
"=""550.4565""","=""0.0015""","=""550.4622""","=""0.0015""","=""a*""","=""""",,"=""47857.125""","=""66018.63""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.11f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
"=""556.3185""","=""0.0015""","=""556.3146""","=""0.0015""","=""a*""","=""""",,"=""47856.809""","=""65827.26""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.10f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
"=""556.3185""","=""0.0015""","=""556.3244""","=""0.0015""","=""a*""","=""""",,"=""47857.125""","=""65827.26""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.10f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
"=""563.3069""","=""0.0003""","=""563.30717""","=""0.00007""","=""""","=""2.25e-03""",C+,"=""40039.6907""","=""57787.0683""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T7192""","=""u30""",
"=""""","=""""","=""563.32732""","=""0.00008""","=""""","=""2.25e-03""",C+,"=""40039.6907""","=""57786.4336""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T7192""","=""u30""",
"=""564.4321""","=""0.0015""","=""564.4278""","=""0.0015""","=""a*""","=""""",,"=""47856.809""","=""65568.95""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.9f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
"=""564.4321""","=""0.0015""","=""564.4379""","=""0.0015""","=""a*""","=""""",,"=""47857.125""","=""65568.95""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.9f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
"=""576.1943""","=""0.0015""","=""576.1901""","=""0.0015""","=""a*""","=""5.7e-03""",D+,"=""47856.809""","=""65207.38""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""7/2""",,"=""u27""","=""L694""",
"=""576.1943""","=""0.0015""","=""576.1901""","=""0.0015""","=""a*""","=""3.9e-04""",D+,"=""47856.809""","=""65207.38""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""5/2""",,"=""u27""","=""L694""",
"=""576.1943""","=""0.0015""","=""576.2006""","=""0.0015""","=""a*""","=""5.3e-03""",D+,"=""47857.125""","=""65207.38""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.8f""","=""2F*""","=""5/2""",,"=""u27""","=""L694""",
"=""581.840""","=""0.020""","=""581.833""","=""0.013""","=""60""","=""""",,"=""72522.90""","=""89705.19""","=""2s.2p2""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""""","=""L6232""",
"=""582.107""","=""0.020""","=""582.116""","=""0.013""","=""100""","=""""",,"=""72534.55""","=""89708.49""","=""2s.2p2""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""""","=""L6232""",
"=""582.233""","=""0.020""","=""582.228""","=""0.013""","=""10""","=""""",,"=""72534.55""","=""89705.19""","=""2s.2p2""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""""","=""L6232""",
"=""594.263""","=""0.004""","=""594.2619""","=""0.0012""","=""3a*""","=""8.4e-03""",D+,"=""47856.809""","=""64679.745""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""7/2""",,"=""u27""","=""L694""",
"=""594.263""","=""0.004""","=""594.2619""","=""0.0012""","=""3a*""","=""5.6e-04""",D+,"=""47856.809""","=""64679.745""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.7f""","=""2F*""","=""5/2""",,"=""u27""","=""L694""",
"=""594.272""","=""0.004""","=""594.2731""","=""0.0012""","=""2a""","=""7.9e-03""",D+,"=""47857.125""","=""64679.745""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.7f""","=""2F*""","=""5/2""",,"=""u27""","=""L694""",
"=""""","=""""","=""602.772""","=""0.006""","=""""","=""1.4e-03""",C,"=""48611.8663""","=""65197.29""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.8d""","=""2D""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""602.837""","=""0.006""","=""""","=""1.63e-03""",C,"=""48613.6486""","=""65197.29""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""602.837""","=""0.006""","=""""","=""2.73e-04""",C,"=""48613.6486""","=""65197.29""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""617.867""","=""0.006""","=""""","=""2.7e-03""",C,"=""48611.8663""","=""64792.09""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.8s""","=""2S""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""617.936""","=""0.006""","=""""","=""5.50e-03""",C,"=""48613.6486""","=""64792.09""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.8s""","=""2S""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""622.745""","=""0.006""","=""""","=""1.7e-03""",C,"=""48611.8663""","=""64665.353""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.7d""","=""2D""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""622.815""","=""0.006""","=""""","=""2.08e-03""",C,"=""48613.6486""","=""64665.353""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7d""","=""2D""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""622.815""","=""0.006""","=""""","=""3.46e-04""",C,"=""48613.6486""","=""64665.353""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7d""","=""2D""","=""3/2""",,"=""u27""","=""""",
"=""624.457""","=""0.004""","=""624.4557""","=""0.0012""","=""9a*""","=""1.4e-02""",D,"=""47856.809""","=""63866.326""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",,"=""u27""","=""L694""",
"=""624.457""","=""0.004""","=""624.4557""","=""0.0012""","=""9a*""","=""8.7e-04""",D,"=""47856.809""","=""63866.326""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""u27""","=""L694""",
"=""624.466""","=""0.004""","=""624.4681""","=""0.0012""","=""6a""","=""1.2e-02""",D,"=""47857.125""","=""63866.326""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""u27""","=""L694""",
"=""""","=""""","=""643.151""","=""0.006""","=""""","=""5.18e-03""",C,"=""48611.8663""","=""64156.017""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.7s""","=""2S""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""643.225""","=""0.006""","=""""","=""1.04e-02""",C,"=""48613.6486""","=""64156.017""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7s""","=""2S""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""656.269""","=""0.007""","=""""","=""2.01e-03""",C,"=""48611.8663""","=""63845.323""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""656.345""","=""0.007""","=""""","=""2.41e-03""",C,"=""48613.6486""","=""63845.323""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""656.345""","=""0.007""","=""""","=""4.03e-04""",C,"=""48613.6486""","=""63845.323""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""677.866""","=""0.009""","=""""","=""1.6e-04""",C,"=""57786.4336""","=""72534.55""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""677.895""","=""0.009""","=""""","=""8.02e-04""",C,"=""57787.0683""","=""72534.55""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",,"=""u27""","=""""",
"=""""","=""""","=""678.401""","=""0.009""","=""""","=""6.39e-04""",C,"=""57786.4336""","=""72522.90""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""678.431""","=""0.009""","=""""","=""3.2e-04""",C,"=""57787.0683""","=""72522.90""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",,"=""u27""","=""""",
"=""""","=""""","=""681.95167""","=""0.00020""","=""""","=""2.2e-02""",D+,"=""47856.809""","=""62516.5592""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""7/2""",,"=""u27""","=""""",
"=""""","=""""","=""681.95167""","=""0.00020""","=""""","=""1.4e-03""",D+,"=""47856.809""","=""62516.5592""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""5/2""",,"=""u27""","=""""",
"=""""","=""""","=""681.96637""","=""0.00024""","=""""","=""2.0e-02""",D+,"=""47857.125""","=""62516.5592""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.5f""","=""2F*""","=""5/2""",,"=""u27""","=""""",
