obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""342.0405""","=""0.0005""","=""342.0405""","=""0.0005""","=""2600""","=""""",,"=""60393.1693""","=""89621.09""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.(2P*<3/2>).10p""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""345.8503""","=""0.0005""","=""345.8503""","=""0.0005""","=""3900""","=""""",,"=""60393.1693""","=""89299.13""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""351.4801""","=""0.0005""","=""351.4801""","=""0.0005""","=""6000""","=""""",,"=""60393.1693""","=""88836.15""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.(2P*<3/2>).8p""","=""2[5/2]""","=""3""",,"=""""","=""L17684""",
"=""351.8314""","=""0.0010""","=""351.8340""","=""0.0004""","=""2700""","=""""",,"=""60352.6584""","=""88767.03""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.(2P*<1/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L17684""",
"=""359.5140""","=""0.0010""","=""359.5139""","=""0.0014""","=""2700*""","=""""",,"=""61981.83211""","=""89789.23""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<1/2>).11p""","=""2[3/2]""","=""1""",,"=""""","=""L17684""",
"=""359.5140""","=""0.0010""","=""359.5156""","=""0.0004""","=""2700*""","=""""",,"=""60352.6584""","=""88159.93""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.7p""","=""3P""","=""0""",,"=""""","=""L17684""",
"=""359.5456""","=""0.0005""","=""359.54456""","=""0.00023""","=""2700""","=""""",,"=""60393.1693""","=""88198.20""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.7p""","=""3P""","=""2""",,"=""""","=""L17684""",
"=""360.1465""","=""0.0005""","=""360.1466""","=""0.0003""","=""2700""","=""""",,"=""60333.4476""","=""88092.00""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.7p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""360.3440""","=""0.0005""","=""360.3433""","=""0.0004""","=""4100""","=""""",,"=""60352.6584""","=""88096.06""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.7p""","=""3D""","=""2""",,"=""""","=""L17684""",
"=""360.3528""","=""0.0005""","=""360.3528""","=""0.0005""","=""6100""","=""""",,"=""60393.1693""","=""88135.84""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.7p""","=""3D""","=""3""",,"=""""","=""L17684""",
"=""360.3952""","=""0.0005""","=""360.3960""","=""0.0003""","=""2700""","=""""",,"=""60352.6584""","=""88092.00""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.7p""","=""3D""","=""1""",,"=""""","=""L17684""",
"=""360.7940""","=""0.0005""","=""360.7948""","=""0.0004""","=""2700""","=""""",,"=""60352.6584""","=""88061.34""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.7p""","=""1P""","=""1""",,"=""""","=""L17684""",
"=""360.8696""","=""0.0005""","=""360.8702""","=""0.0004""","=""4100""","=""""",,"=""60393.1693""","=""88096.06""","=""2s2.2p.3s""","=""3P*""","=""2""","=""2s2.2p.7p""","=""3D""","=""2""",,"=""""","=""L17684""",
"=""360.9562""","=""0.0005""","=""360.9561""","=""0.0005""","=""2200""","=""""",,"=""61981.83211""","=""89678.13""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<3/2>).10p""","=""2[1/2]""","=""0""",,"=""""","=""L17684""",
"=""362.5609""","=""0.0005""","=""362.5609""","=""0.0005""","=""2200""","=""""",,"=""61981.83211""","=""89555.54""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<1/2>).10p""","=""2[3/2]""","=""1""",,"=""""","=""L17684""",
"=""364.8623""","=""0.0005""","=""364.8622""","=""0.0005""","=""2200""","=""""",,"=""61981.83211""","=""89381.63""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<3/2>).9p""","=""2[1/2]""","=""0""",,"=""""","=""L17684""",
"=""365.2824""","=""0.0005""","=""365.2825""","=""0.0005""","=""2200""","=""""",,"=""61981.83211""","=""89350.11""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<3/2>).9p""","=""2[5/2]""","=""2""",,"=""""","=""L17684""",
"=""366.8600""","=""0.0005""","=""366.8599""","=""0.0005""","=""3300""","=""""",,"=""61981.83211""","=""89232.43""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<1/2>).9p""","=""2[3/2]""","=""1""",,"=""""","=""L17684""",
"=""370.5557""","=""0.0005""","=""370.5557""","=""0.0005""","=""3300""","=""""",,"=""61981.83211""","=""88960.65""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.(2P*<3/2>).8p""","=""2[1/2]""","=""0""",,"=""""","=""L17684""",
