obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""372.654""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""394.482""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""410.479""","=""410.4780""","=""20""","=""2.0e-03""",D,"=""71958.363""","=""96313.330""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""T694""","=""L298""",
"=""""","=""414.7257""","=""""","=""3.8e-03""",D,"=""72488.568""","=""96594.096""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""T694""","=""""",
"=""420.967""","=""420.9665""","=""65""","=""4.1e-03""",D+,"=""71958.363""","=""95706.534""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""422.642""","=""422.6426""","=""50""","=""5.5e-03""",D+,"=""71958.363""","=""95612.357""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""426.458""","=""426.4580""","=""60""","=""1.7e-03""",D+,"=""71958.363""","=""95400.731""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""428.0463""","=""""","=""1.6e-03""",D,"=""71958.363""","=""95313.749""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""T694""","=""""",
"=""""","=""432.3335""","=""""","=""1.1e-02""",D+,"=""72488.568""","=""95612.357""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""""","=""433.7861""","=""""","=""2.6e-03""",D,"=""72488.568""","=""95534.923""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",,"=""T694""","=""""",
