obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""359.4103""","=""0.0010""","=""359.4104+""","=""6""","=""""",,"=""102405.71""","=""130221.12""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).4p""","=""4S*""","=""3/2""",,"=""""","=""L7481""",
"=""366.8174""","=""0.0010""","=""366.8170+""","=""12""","=""""",,"=""102405.71""","=""129659.50""","=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p4.(3P).4p""","=""4D*""","=""7/2""",,"=""""","=""L7481""",
"=""389.8478""","=""0.0010""","=""389.8472+""","=""5""","=""""",,"=""104731.05""","=""130374.86""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p4.(3P).4p""","=""2P*""","=""3/2""",,"=""""","=""L7481""",
"=""393.0689""","=""0.0010""","=""393.0686+""","=""8""","=""""",,"=""105056.28""","=""130489.93""","=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p4.(3P).4p""","=""2P*""","=""1/2""",,"=""""","=""L7481""",
"=""393.4262""","=""0.0010""","=""393.4252+""","=""5""","=""""",,"=""104731.05""","=""130141.65""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p4.(3P).4p""","=""2D*""","=""3/2""",,"=""""","=""L7481""",
"=""394.8563""","=""0.0010""","=""394.8551+""","=""5""","=""""",,"=""105056.28""","=""130374.86""","=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p4.(3P).4p""","=""2P*""","=""3/2""",,"=""""","=""L7481""",
"=""496.065""","=""0.003""","=""496.066+""","=""6""","=""""",,"=""115917.91""","=""136070.88""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).5d""","=""4D""","=""7/2""",,"=""""","=""L7481""",
"=""523.041""","=""0.003""","=""523.040+""","=""15""","=""""",,"=""116987.39""","=""136101.06""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).5d""","=""4F""","=""9/2""",,"=""""","=""L7481""",
"=""527.901""","=""0.003""","=""527.902+""","=""12""","=""""",,"=""117164.01""","=""136101.65""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p4.(3P).5d""","=""2F""","=""7/2""",,"=""""","=""L7481""",
"=""554.052""","=""0.003""","=""554.051+""","=""18""","=""""",,"=""116040.88""","=""134084.75""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""2F""","=""5/2""",,"=""""","=""L7481""",
"=""555.243""","=""0.003""","=""555.242+""","=""12""","=""""",,"=""115917.91""","=""133923.07""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).4d""","=""4F""","=""7/2""",,"=""""","=""L7481""",
