obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""300.714""","=""0.006""","=""300.7190""","=""0.0006""","=""3""","=""""",,"=""44042.909""","=""77286.86""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.5f""","=""3F*""","=""4""",E2,"=""""","=""L4742,L7589c86""",
"=""301.148""","=""0.006""","=""301.1520""","=""0.0005""","=""3*""","=""""",,"=""44042.909""","=""77239.06""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.5f""","=""3F*""","=""3""",E2,"=""""","=""L4742,L7589c86""",
"=""301.148""","=""0.006""","=""301.1720""","=""0.0004""","=""3*""","=""""",,"=""44042.909""","=""77236.86""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.5f""","=""3F*""","=""2""",E2,"=""""","=""L4742,L7589c86""",
"=""302.15040""","=""0.00010""","=""302.15041""","=""0.00010""","=""1200""","=""5.1e-01""",B+,"=""44042.909""","=""77129.372""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7d""","=""3D""","=""3""",,"=""T5292""","=""L7247""",
"=""302.3471""","=""0.0002""","=""302.34748""","=""0.00006""","=""300""","=""9.4e-02""",B,"=""44042.909""","=""77107.807""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7d""","=""3D""","=""2""",,"=""T5292""","=""L3456""",
"=""302.5606""","=""0.0006""","=""302.56150""","=""0.00017""","=""30""","=""""",,"=""44042.909""","=""77084.42""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7d""","=""3D""","=""1""",,"=""""","=""L3451""",
"=""302.7490""","=""0.0002""","=""302.74888""","=""0.00006""","=""60""","=""1.98e-02""",C+,"=""44042.909""","=""77063.970""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.7d""","=""1D""","=""2""",,"=""T5292""","=""L3456""",
"=""303.845""","=""0.006""","=""303.8411""","=""0.0006""","=""""","=""""",,"=""44042.909""","=""76945.27""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d9.6s2.(2D<5/2>).6p""","=""2[7/2]*""","=""4""",E2,"=""""","=""L4742""",
"=""304.9705""","=""0.0009""","=""304.9705""","=""0.0008""","=""""","=""""",,"=""44042.909""","=""76823.43""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6s.8p""","=""3P*""","=""2""",E2,"=""""","=""L12931,L4742""",
"=""312.56740""","=""0.00010""","=""312.56732""","=""0.00005""","=""4000""","=""6.6e-01""",B+,"=""39412.237""","=""71396.073""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6s.6d""","=""3D""","=""2""",,"=""T5292""","=""L7247""",
"=""313.15550""","=""0.00010""","=""313.15547""","=""0.00006""","=""3000""","=""""",,"=""39412.237""","=""71336.005""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6s.6d""","=""3D""","=""1""",,"=""""","=""L7247""",
