obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""318.295""","=""318.29252+""","=""2""","=""""",,"=""79971.7417""","=""111380.299""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L3988""",
"=""318.453""","=""318.463+""","=""1""","=""""",,"=""79971.7417""","=""111363.5""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).11p""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""318.601""","=""318.611+""","=""1*""","=""""",,"=""79971.7417""","=""111348.9""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).11p""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""318.601""","=""318.611+""","=""1*""","=""""",,"=""79971.7417""","=""111348.9""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).11p""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""323.068""","=""323.0677+""","=""2""","=""""",,"=""79971.7417""","=""110916.07""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).10p""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""323.280""","=""323.290+""","=""2*""","=""""",,"=""79971.7417""","=""110894.8""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).10p""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""323.280""","=""323.290+""","=""2*""","=""""",,"=""79971.7417""","=""110894.8""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).10p""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""325.710""","=""325.7026+""","=""1*""","=""""",,"=""79971.7417""","=""110665.75""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""325.710""","=""325.7057+""","=""1*""","=""""",,"=""79971.7417""","=""110665.45""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""325.800""","=""325.8059+""","=""1h*""","=""""",,"=""79971.7417""","=""110656.01""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""325.800""","=""325.8119+""","=""1h*""","=""""",,"=""79971.7417""","=""110655.45""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""328.059""","=""328.060+""","=""1""","=""""",,"=""80916.7680""","=""111390.2""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).11p""","=""2[1/2]""","=""0""",,"=""""","=""L7408""",
