obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""309.1065""","=""309.10640""","=""20""","=""3.09e-01""",B,"=""21850.405""","=""54192.335""","=""3s.3p""","=""3P*""","=""0""","=""3s.4d""","=""3D""","=""1""",,"=""T4391""","=""L6095""",
"=""""","=""309.2982""","=""""","=""2.08e-01""",C,"=""21870.464""","=""54192.335""","=""3s.3p""","=""3P*""","=""1""","=""3s.4d""","=""3D""","=""1""",,"=""T6298c72,LS""","=""""",
"=""309.2984""","=""309.29863""","=""22""","=""3.74e-01""",C,"=""21870.464""","=""54192.294""","=""3s.3p""","=""3P*""","=""1""","=""3s.4d""","=""3D""","=""2""",,"=""T6298c72,LS""","=""L6095""",
"=""""","=""309.6884""","=""""","=""1.38e-02""",D,"=""21911.178""","=""54192.335""","=""3s.3p""","=""3P*""","=""2""","=""3s.4d""","=""3D""","=""1""",,"=""T6298c72,LS""","=""""",
"=""""","=""309.6887""","=""""","=""1.24e-01""",C,"=""21911.178""","=""54192.294""","=""3s.3p""","=""3P*""","=""2""","=""3s.4d""","=""3D""","=""2""",,"=""T6298c72,LS""","=""""",
"=""309.6890""","=""309.68911""","=""24""","=""4.96e-01""",C+,"=""21911.178""","=""54192.256""","=""3s.3p""","=""3P*""","=""2""","=""3s.4d""","=""3D""","=""3""",,"=""T6298c72,LS""","=""L6095""",
"=""319.7625""","=""319.76246""","=""2""","=""""",,"=""21870.464""","=""53134.642""","=""3s.3p""","=""3P*""","=""1""","=""3s.4d""","=""1D""","=""2""",,"=""""","=""L6095""",
"=""320.1796""","=""320.17943""","=""3""","=""""",,"=""21911.178""","=""53134.642""","=""3s.3p""","=""3P*""","=""2""","=""3s.4d""","=""1D""","=""2""",,"=""""","=""L6095""",
"=""332.9919""","=""332.99194""","=""17""","=""3.09e-02""",D+,"=""21850.405""","=""51872.526""","=""3s.3p""","=""3P*""","=""0""","=""3s.5s""","=""3S""","=""1""",,"=""T6298c72,LS""","=""L6095""",
"=""333.2146""","=""333.21458""","=""19""","=""1.02e-01""",B,"=""21870.464""","=""51872.526""","=""3s.3p""","=""3P*""","=""1""","=""3s.5s""","=""3S""","=""1""",,"=""T4391""","=""L6095""",
"=""333.6674""","=""333.66740""","=""20""","=""1.70e-01""",B,"=""21911.178""","=""51872.526""","=""3s.3p""","=""3P*""","=""2""","=""3s.5s""","=""3S""","=""1""",,"=""T4391""","=""L6095""",
"=""""","=""362.7628""","=""""","=""5.62e-02""",C,"=""53134.642""","=""80693.01""","=""3s.4d""","=""1D""","=""2""","=""3p.3d""","=""1D*""","=""2""",,"=""T6298c72""","=""""",
"=""""","=""363.5813""","=""""","=""9.89e-13""",D,"=""21850.405""","=""49346.729""","=""3s.3p""","=""3P*""","=""0""","=""3s.4p""","=""1P*""","=""1""",M1,"=""c43""","=""""",
