obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""329.8990""","=""""","=""1.43e-03""",D,"=""99680.968""","=""129984.553""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<3/2>).4d""","=""3P*""","=""0""",,"=""T5713LS""","=""""",
"=""""","=""329.9552""","=""""","=""3.57e-04""",D,"=""99680.968""","=""129979.384""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<3/2>).4d""","=""3P*""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""329.9561""","=""""","=""5.95e-04""",C,"=""99681.049""","=""129979.384""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<3/2>).4d""","=""3P*""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""329.9590""","=""""","=""4.76e-04""",D,"=""99681.309""","=""129979.384""","=""2s2.2p3.(4S*).4p""","=""3P""","=""0""","=""2s2.2p3.(2D*<3/2>).4d""","=""3P*""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""330.0575""","=""""","=""3.57e-04""",C,"=""99680.968""","=""129970.000""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<3/2>).4d""","=""3P*""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""330.0584""","=""""","=""1.07e-03""",C,"=""99681.049""","=""129970.000""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<3/2>).4d""","=""3P*""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""332.621""","=""""","=""2.17e-03""",C,"=""99680.968""","=""129736.6""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<3/2>).4d""","=""3S*""","=""1""",,"=""T5803""","=""""",
"=""""","=""332.622""","=""""","=""3.64e-03""",C+,"=""99681.049""","=""129736.6""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<3/2>).4d""","=""3S*""","=""1""",,"=""T5803""","=""""",
"=""""","=""332.624""","=""""","=""7.22e-04""",C,"=""99681.309""","=""129736.6""","=""2s2.2p3.(4S*).4p""","=""3P""","=""0""","=""2s2.2p3.(2D*<3/2>).4d""","=""3S*""","=""1""",,"=""T5803""","=""""",
"=""""","=""332.993""","=""""","=""1.10e-04""",D,"=""99680.968""","=""129703.0""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<5/2>).4d""","=""3D*""","=""1""",,"=""T5803""","=""""",
