obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""396.200""","=""396.1974""","=""1""","=""""",,"=""52623.640""","=""77856.446""","=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""","=""3s2.3p3.(4S*).6p""","=""5P""","=""3""",,"=""""","=""L7427""",
"=""396.249""","=""396.2478""","=""1""","=""""",,"=""52623.640""","=""77853.234""","=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""","=""3s2.3p3.(4S*).6p""","=""5P""","=""2""",,"=""""","=""L7427""",
"=""""","=""403.2249+""","=""""","=""1.08e-02""",E,"=""55330.811""","=""80123.86""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""3s2.3p3.(4S*).7p""","=""3P""","=""0""",,"=""T7952""","=""""",
"=""""","=""403.2843+""","=""""","=""1.07e-02""",D,"=""55330.811""","=""80120.21""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""3s2.3p3.(4S*).7p""","=""3P""","=""1""",,"=""T7952""","=""""",
"=""403.401""","=""403.406""","=""2""","=""1.06e-02""",D,"=""55330.811""","=""80112.73""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""3s2.3p3.(4S*).7p""","=""3P""","=""2""",,"=""T7952""","=""L7427""",
"=""415.037""","=""415.041""","=""1""","=""1.44e-02""",E,"=""55330.811""","=""79418.01""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""0""",,"=""T7952""","=""L7444""",
"=""415.2604""","=""415.2604""","=""50""","=""1.48e-02""",D,"=""55330.811""","=""79405.30""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""1""",,"=""T7952""","=""L5666""",
"=""415.7699""","=""415.7698""","=""25""","=""1.59e-02""",D,"=""55330.811""","=""79375.80""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""2""",,"=""T7952""","=""L5666""",
"=""""","=""450.7311""","=""""","=""4.87e-11""",D,"=""0.000""","=""22179.954""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p4""","=""1S""","=""0""",E2,"=""T7942c84""","=""""",
"=""458.92606""","=""458.92605""","=""10""","=""2.98e-09""",D,"=""396.055""","=""22179.954""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p4""","=""1S""","=""0""",M1,"=""T7942c84""","=""L4347""",
"=""462.528""","=""462.528""","=""""","=""""",,"=""64888.964""","=""86503.21""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""2""",,"=""""","=""L3890""",
"=""462.606""","=""462.606""","=""""","=""""",,"=""64892.582""","=""86503.21""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""2""",,"=""""","=""L3890""",
"=""462.927""","=""462.928""","=""""","=""""",,"=""64888.964""","=""86484.57""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(2D*).3d""","=""3P*""","=""1""",,"=""""","=""L3890""",
