obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""300.6739""","=""""","=""1.45e-11""",D,"=""77.115""","=""33326.053""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""5S*""","=""2""",M2,"=""c22""","=""""",
"=""300.6739""","=""300.6739""","=""50""","=""1.1e-05""",E,"=""77.115""","=""33326.053""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""5S*""","=""2""",,"=""T6066c4""","=""L3521""",
"=""302.0004""","=""302.0004""","=""75""","=""3.3e-05""",E,"=""223.157""","=""33326.053""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""5S*""","=""2""",,"=""T6066c4""","=""L3521""",
"=""""","=""302.0004""","=""""","=""1.09e-11""",D,"=""223.157""","=""33326.053""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""5S*""","=""2""",M2,"=""c22""","=""""",
"=""390.5523""","=""390.5523""","=""300""","=""1.33e-01""",B,"=""15394.370""","=""40991.884""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
"=""410.2936""","=""410.2936""","=""70""","=""6.09e-04""",E,"=""15394.370""","=""39760.285""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""3P*""","=""1""",,"=""T8363c22""","=""L3521""",
"=""""","=""411.5964""","=""""","=""""",,"=""15394.370""","=""39683.163""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""3P*""","=""0""",,"=""""","=""""",
"=""""","=""472.1571""","=""""","=""3.4e-03""",D,"=""39683.163""","=""60856.630""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""""","=""473.8832""","=""""","=""1.0e-02""",D,"=""39760.285""","=""60856.630""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""""","=""474.7993""","=""""","=""5.7e-03""",D,"=""39760.285""","=""60815.925""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""2""",,"=""T6066c4,LS""","=""""",
"=""""","=""475.5276""","=""""","=""7.5e-03""",D,"=""39683.163""","=""60706.558""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""""","=""477.2785""","=""""","=""5.7e-03""",D,"=""39760.285""","=""60706.558""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""1""",,"=""T6066c4,LS""","=""""",
"=""478.2991""","=""478.2991""","=""50""","=""1.7e-02""",D,"=""39955.053""","=""60856.630""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",,"=""T6066c4,LS""","=""L3521""",
"=""479.2212""","=""479.2213""","=""35""","=""2.2e-02""",D,"=""39760.285""","=""60621.64""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<1/2>).6p<1/2>""","=""(1/2,1/2)""","=""0""",,"=""T6066c4,LS""","=""L3521""",
"=""479.2324""","=""479.2324""","=""80""","=""1.7e-02""",D,"=""39955.053""","=""60815.925""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""2""",,"=""T6066c4,LS""","=""L3521""",
"=""""","=""480.5439""","=""""","=""6.0e-03""",D,"=""39683.163""","=""60487.103""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""1""",,"=""T6066c4,LS""","=""""",
